Scenario,Budget,LT Revenue,ST Revenue,Total Revenue,Predicted Revenue,Region,Brand
region: UK brand: Shreddies budget: 9600000,9600000.0,5917572.88872416,7084960.811182986,13002533.699907146,12973228.120271375,UK,Shreddies
region: UK brand: Shreddies budget: 9700000,9700000.000000002,5925302.137352747,7097618.861017214,13022920.998369962,12995576.505655145,UK,Shreddies
region: UK brand: Shreddies budget: 9800000,9800000.0,5932824.239606306,7109652.789166515,13042477.02877282,13017258.062328408,UK,Shreddies
region: UK brand: Shreddies budget: 9900000,9900000.0,5940146.233962774,7121105.129199862,13061251.363162637,13038292.687054243,UK,Shreddies
region: Chile brand: Chocapic budget: 100000,100000.00000006655,144960.66961736677,48455.87835391039,193416.54797127715,372164.23837412964,Chile,Chocapic
region: Chile brand: Chocapic budget: 1000000,1000000.0000028453,418247.72858103615,431501.14145313017,849748.8700341664,786986.9268117687,Chile,Chocapic
region: Chile brand: Chocapic budget: 1100000,1100000.0000049197,429441.24070807325,468847.04016261833,898288.2808706916,787612.4280403141,Chile,Chocapic
region: Chile brand: Chocapic budget: 1200000,1200000.000004537,437634.17593166284,507333.0245550296,944967.2004866924,787942.6283831305,Chile,Chocapic
region: Chile brand: Chocapic budget: 1300000,1299999.9999999998,445858.9172468852,541113.3867740821,986972.3040209673,788116.9402172576,Chile,Chocapic
region: Chile brand: Chocapic budget: 1400000,1399999.9999999998,460921.8227993,563445.4247443932,1024367.2475436933,788208.9589452221,Chile,Chocapic
region: Chile brand: Chocapic budget: 1500000,1499999.999996566,475947.0906590802,585768.1641499111,1061715.2548089912,788257.5353734256,Chile,Chocapic
region: Chile brand: Chocapic budget: 200000,200000.00000012259,223763.32538985685,90574.80928884957,314338.1346787064,568628.6951820536,Chile,Chocapic
region: Chile brand: Chocapic budget: 300000,299999.99999999994,276595.0749387705,129067.53897328174,405662.61391205224,672341.7304737109,Chile,Chocapic
region: Chile brand: Chocapic budget: 400000,400000.00000023935,317850.9555935107,166327.16504339076,484178.12063690147,727091.5506917186,Chile,Chocapic
region: Chile brand: Chocapic budget: 500000,500000.0000001758,323434.8271094281,233272.08198160003,556706.9090910282,755993.827107151,Chile,Chocapic
region: Chile brand: Chocapic budget: 600000,599999.9999998665,345774.09636750433,281450.2218961094,627224.3182636137,771251.2577008916,Chile,Chocapic
region: Chile brand: Chocapic budget: 700000,699999.9999932643,373262.6432107426,317861.15432341764,691123.7975341603,779305.612484822,Chile,Chocapic
region: Chile brand: Chocapic budget: 800000,800000.0,390859.6870611823,357241.5369259149,748101.2239870972,783557.4837680344,Chile,Chocapic
region: Chile brand: Chocapic budget: 900000,899999.9999998439,404209.30587271735,395771.5659113336,799980.871784051,785802.034683636,Chile,Chocapic
region: France brand: Chocapic budget: 100000,100000.00000016167,108802.95268969458,53305.83566447935,162108.78835417394,130272.07996723692,France,Chocapic
region: France brand: Chocapic budget: 1000000,1000000.0000000107,880492.3243578989,378403.51844073244,1258895.8427986314,1232275.7957740445,France,Chocapic
region: France brand: Chocapic budget: 1100000,1100000.0000006598,958701.1416383635,413250.3761493981,1371951.5177877615,1347243.9682612775,France,Chocapic
region: France brand: Chocapic budget: 1200000,1199999.9999999898,1035543.6674497677,447840.5146497241,1483384.1820994918,1460784.3254146131,France,Chocapic
region: France brand: Chocapic budget: 1300000,1300000.0000000459,1111085.9931338779,482139.93398960977,1593225.9271234877,1572914.5995929113,France,Chocapic
region: France brand: Chocapic budget: 1400000,1400000.0000005725,1185630.386983005,515842.55198889057,1701472.9389718957,1683652.3029302985,France,Chocapic
region: France brand: Chocapic budget: 1500000,1499999.9999999905,1258460.8791565371,549688.4624787869,1808149.341635324,1793014.730072382,France,Chocapic
region: France brand: Chocapic budget: 1600000,1599999.9999999872,1329207.0154307913,584381.2950245804,1913588.3104553716,1901018.9608822868,France,Chocapic
region: France brand: Chocapic budget: 1700000,1700000.0000002668,1399037.681551333,618885.9339617117,2017923.6155130449,2007681.863102341,France,Chocapic
region: France brand: Chocapic budget: 1800000,1800000.0000000645,1467968.202578097,653203.6550149681,2121171.857593065,2113020.094990148,France,Chocapic
region: France brand: Chocapic budget: 1900000,1899999.9999999988,1536013.746662419,687335.5990016039,2223349.345664023,2217050.1079221624,France,Chocapic
region: France brand: Chocapic budget: 200000,200000.00000080996,200131.5505160922,91607.38261152273,291738.9331276149,258926.2819682032,France,Chocapic
region: France brand: Chocapic budget: 2000000,2000000.0000000861,1603188.2570266826,721283.8452984978,2324472.1023251805,2319788.1489608902,France,Chocapic
region: France brand: Chocapic budget: 2100000,2100000.0000000196,1669507.2935787796,755048.5754611396,2424555.869039919,2421250.2633926263,France,Chocapic
region: France brand: Chocapic budget: 2200000,2200000.0000000675,1734984.6197968759,788631.4915502268,2523616.1113471026,2521452.2972342656,France,Chocapic
region: France brand: Chocapic budget: 2300000,2300000.000000028,1799634.0518111205,822033.9721112358,2621668.0239223563,2620409.899707017,France,Chocapic
region: France brand: Chocapic budget: 2400000,2400000.0000001816,1863469.4807722543,855257.054777807,2718726.535550061,2718138.5256814077,France,Chocapic
region: France brand: Chocapic budget: 2500000,2499999.999999992,1926503.9445535606,888302.3694515524,2814806.314005113,2814653.438089688,France,Chocapic
region: France brand: Chocapic budget: 2600000,2600000.0000000107,1988750.9652041597,921170.8056077268,2909921.7708118865,2909969.710311405,France,Chocapic
region: France brand: Chocapic budget: 2700000,2699999.999999962,2050218.0269158108,953868.9284559425,3004086.9553717533,3004102.2285256586,France,Chocapic
region: France brand: Chocapic budget: 2800000,2800000.0000000084,2111282.140685254,986018.5492069788,3097300.6898922324,3097065.6940371883,France,Chocapic
region: France brand: Chocapic budget: 2900000,2899999.9999999786,2172141.6693833265,1017178.6359882805,3189320.305371607,3188874.625571645,France,Chocapic
region: France brand: Chocapic budget: 300000,300000.0000000065,290999.52187631605,128115.03504819311,419114.5569245092,385982.6987871275,France,Chocapic
region: France brand: Chocapic budget: 3000000,3000000.000000008,2231797.016070673,1048265.3053048006,3280062.3213754734,3279543.3615436773,France,Chocapic
region: France brand: Chocapic budget: 3100000,3099999.999999999,2290417.4639906813,1079132.7577544348,3369550.221745116,3369086.062295758,France,Chocapic
region: France brand: Chocapic budget: 3200000,3199999.9999999898,2348025.6851523677,1109783.0033493787,3457808.6885017464,3457516.712310036,France,Chocapic
region: France brand: Chocapic budget: 3300000,3300000.0000000023,2404605.458259386,1140262.1323609082,3544867.590620294,3544849.1223922465,France,Chocapic
region: France brand: Chocapic budget: 3400000,3399999.9999999874,2460226.375388644,1170541.0830167404,3630767.458405385,3631096.931828593,France,Chocapic
region: France brand: Chocapic budget: 3500000,3500000.0000000144,2514930.0797204683,1200601.5325190302,3715531.6122394986,3716273.6105160476,France,Chocapic
region: France brand: Chocapic budget: 3600000,3599999.999999994,2568736.586264307,1230445.0807588387,3799181.6670231456,3800392.4610657985,France,Chocapic
region: France brand: Chocapic budget: 3700000,3699999.9999999963,2621664.3421571483,1260074.404387861,3881738.7465450093,3883466.6208810774,France,Chocapic
region: France brand: Chocapic budget: 3800000,3799999.999999991,2673732.003904474,1289491.4917677252,3963223.495672199,3965509.0642086957,France,Chocapic
region: France brand: Chocapic budget: 3900000,3899999.9999999716,2724957.5502823587,1318698.5419433855,4043656.0922257444,4046532.6041654283,France,Chocapic
region: France brand: Chocapic budget: 400000,399999.99999999866,380205.92016376427,164343.81558547227,544549.7357492365,511461.1736767895,France,Chocapic
region: France brand: Chocapic budget: 4000000,3999999.999999989,2775358.592951556,1347697.6656039811,4123056.258555537,4126549.8947391403,France,Chocapic
region: France brand: Chocapic budget: 4100000,4099999.999999999,2824941.338708294,1376502.115913632,4201443.454621926,4205573.432764933,France,Chocapic
region: France brand: Chocapic budget: 4200000,4200000.0000000335,2873700.9176285528,1405140.656131834,4278841.573760387,4283615.559876987,France,Chocapic
region: France brand: Chocapic budget: 4300000,4299999.999999996,2921696.850098251,1433574.2974913497,4355271.147589601,4360688.464435884,France,Chocapic
region: France brand: Chocapic budget: 4400000,4399999.999999999,2968944.8293203283,1461805.1231994382,4430749.952519767,4436804.183432398,France,Chocapic
region: France brand: Chocapic budget: 4500000,4499999.999999998,3015460.130186664,1489835.240820782,4505295.371007446,4511974.604367118,France,Chocapic
region: France brand: Chocapic budget: 4600000,4600000.000000007,3061257.9095894126,1517666.4916451154,4578924.401234528,4586211.46710716,France,Chocapic
region: France brand: Chocapic budget: 4700000,4700000.000000049,3106352.4418540336,1545301.2246658865,4651653.66651992,4659526.365719621,France,Chocapic
region: France brand: Chocapic budget: 4800000,4799999.999999996,3150758.476551914,1572740.947978579,4723499.424530493,4731930.75028219,France,Chocapic
region: France brand: Chocapic budget: 4900000,4900000.000000009,3194489.5530968965,1599988.0231195602,4794477.5762164565,4803435.928671698,France,Chocapic
region: France brand: Chocapic budget: 500000,500000.00000030606,467788.66588662774,200295.8722642238,668084.5381508516,635381.303448728,France,Chocapic
region: France brand: Chocapic budget: 5000000,5000000.000000014,3237559.3804322947,1627044.2941248876,4864603.674557182,4874053.06832977,France,Chocapic
region: France brand: Chocapic budget: 5100000,5100000.000000048,3279981.3431092286,1653911.5899492777,4933892.933058506,4943793.198007164,France,Chocapic
region: France brand: Chocapic budget: 5200000,5199999.9999999385,3321768.45436029,1680591.7796985928,5002360.234058883,5012667.209485981,France,Chocapic
region: France brand: Chocapic budget: 5300000,5300000.000000008,3362933.2101611937,1707086.9266277403,5070020.1367889345,5080685.859281196,France,Chocapic
region: France brand: Chocapic budget: 5400000,5400000.000000082,3403488.3469224824,1733398.5383343957,5136886.885256878,5147859.77031989,France,Chocapic
region: France brand: Chocapic budget: 5500000,5499999.999999997,3443445.548201007,1759528.8677409505,5202974.415941957,5214199.433600658,France,Chocapic
region: France brand: Chocapic budget: 5600000,5600000.000000001,3482666.5356681654,1785628.8484683956,5268295.384136561,5279715.209832317,France,Chocapic
region: France brand: Chocapic budget: 5700000,5699999.99999997,3521521.004110317,1811344.571630821,5332865.575741138,5344417.331051494,France,Chocapic
region: France brand: Chocapic budget: 5800000,5800000.0,3559977.3426019466,1836725.4292371534,5396702.7718391,5408315.902221015,France,Chocapic
region: France brand: Chocapic budget: 5900000,5899999.999999997,3597872.2036558166,1861966.1200499393,5459838.323705756,5471420.902807801,France,Chocapic
region: France brand: Chocapic budget: 600000,599999.9999999992,553366.174928349,236402.28542533383,789768.4603536827,757762.4415367971,France,Chocapic
region: France brand: Chocapic budget: 6000000,6000000.0000000065,3635250.3353947923,1887035.432241828,5522285.76763662,5533742.188341639,France,Chocapic
region: France brand: Chocapic budget: 6100000,6099999.99999993,3672051.238375653,1912004.2385173484,5584055.476893001,5595289.491954213,France,Chocapic
region: France brand: Chocapic budget: 6200000,6199999.999999963,3708430.715394707,1936729.9041553065,5645160.619550014,5656072.425899452,France,Chocapic
region: France brand: Chocapic budget: 6300000,6300000.0,3744379.180841687,1961232.5130420222,5705611.69388371,5716100.483054378,France,Chocapic
region: France brand: Chocapic budget: 6400000,6400000.000000008,3779731.6901006848,1985685.5022118236,5765417.192312509,5775383.038401913,France,Chocapic
region: France brand: Chocapic budget: 6500000,6499999.999999996,3814718.4642996015,2009871.809843619,5824590.274143221,5833929.350494995,France,Chocapic
region: France brand: Chocapic budget: 6600000,6600000.0000000065,3849190.46950623,2033948.8346567238,5883139.304162954,5891748.562902557,France,Chocapic
region: France brand: Chocapic budget: 6700000,6699999.999999867,3883170.4923915043,2057904.0542765213,5941074.546668026,5948849.705637385,France,Chocapic
region: France brand: Chocapic budget: 6800000,6800000.000000074,3916747.5369818476,2081659.14269222,5998406.679674068,6005241.696566908,France,Chocapic
region: France brand: Chocapic budget: 6900000,6899999.999999926,3949917.1571670575,2105228.0078455987,6055145.165012656,6060933.342804901,France,Chocapic
region: France brand: Chocapic budget: 700000,700000.0000050657,637356.202517358,272299.2606551155,909655.4631724735,878623.70102859,France,Chocapic
region: France brand: Chocapic budget: 7000000,6999999.999999946,3982623.0907916157,2128675.74541138,6111298.836202996,6115933.342088314,France,Chocapic
region: France brand: Chocapic budget: 7100000,7099999.999999984,4014907.3050720124,2151969.9816291663,6166877.286701178,6170250.284134589,France,Chocapic
region: France brand: Chocapic budget: 7200000,7199999.999999873,4046757.0203655357,2175132.401769581,6221889.4221351165,6223892.6519835545,France,Chocapic
region: France brand: Chocapic budget: 7300000,7299999.999999894,4078223.0693737143,2198121.4377054763,6276344.507079191,6276868.823322512,France,Chocapic
region: France brand: Chocapic budget: 7400000,7399999.999999918,4109304.3538814667,2220946.8256765557,6330251.179558022,6329187.071794184,France,Chocapic
region: France brand: Chocapic budget: 7500000,7500000.000000018,4139963.07511867,2243654.5627572415,6383617.637875911,6380855.568289185,France,Chocapic
region: France brand: Chocapic budget: 7600000,7599999.999999992,4170065.286892077,2266385.134987522,6436450.421879599,6431882.382221884,France,Chocapic
region: France brand: Chocapic budget: 7700000,7699999.999999992,4200160.442080289,2288603.789549452,6488764.23162974,6482275.482790971,France,Chocapic
region: France brand: Chocapic budget: 7800000,7800000.000000006,4229527.06229954,2311031.824784035,6540558.887083575,6532042.740223804,France,Chocapic
region: France brand: Chocapic budget: 7900000,7899999.999999928,4258868.886536018,2332980.5449703275,6591849.431506345,6581191.927005586,France,Chocapic
region: France brand: Chocapic budget: 800000,800000.0000023649,719851.8243088602,307930.31118470395,1027782.1354935642,997983.9576190592,France,Chocapic
region: France brand: Chocapic budget: 8000000,7999999.999999986,4287517.908031034,2355119.323795198,6642637.231826233,6629730.719093462,France,Chocapic
region: France brand: Chocapic budget: 8100000,8100000.0000000475,4315985.90342692,2376948.731919428,6692934.6353463475,6677666.697114977,France,Chocapic
region: France brand: Chocapic budget: 8200000,8200000.000000034,4344111.009816661,2398636.481014123,6742747.490830784,6725007.3475522045,France,Chocapic
region: France brand: Chocapic budget: 8300000,8300000.000000004,4372025.50065665,2420058.349301736,6792083.849958386,6771760.063910994,France,Chocapic
region: France brand: Chocapic budget: 8400000,8399999.999999996,4404144.12542644,2435357.171225588,6839501.296652027,6817932.147875591,France,Chocapic
region: France brand: Chocapic budget: 8500000,8499999.999999803,4434874.049874703,2448550.750708587,6883424.80058329,6863530.810448886,France,Chocapic
region: France brand: Chocapic budget: 8600000,8599999.999998664,4463003.131972738,2460655.8049746333,6923658.936947371,6908563.173078474,France,Chocapic
region: France brand: Chocapic budget: 8700000,8699999.999999791,4478509.030795716,2480235.189074003,6958744.219869719,6953036.268770875,France,Chocapic
region: France brand: Chocapic budget: 8800000,8800000.000000048,4482233.315168531,2502509.940771298,6984743.255939828,6996957.043185312,France,Chocapic
region: France brand: Chocapic budget: 900000,900000.0000000014,800886.5101430372,343297.5114388271,1144184.0215818642,1115861.852607163,France,Chocapic
region: Mexico brand: Abuelita budget: 100000,100000.00000202193,5269.995066384345,25776.245863906337,31046.24093029068,28464.146136821022,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 1000000,1000000.0000009409,40917.28075659764,168536.81773070624,209454.09848730388,212241.2293824591,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 1100000,1100000.0000038499,43915.47538561006,178401.51011019835,222316.98549580842,226425.2441457553,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 1200000,1200000.0000011849,46767.96405833034,187533.68628310165,234301.650341432,239654.92220940173,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 1300000,1300000.000000575,48579.77099632189,197064.03740993128,245643.80840625317,251994.47378221937,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 1400000,1400000.0000012664,51074.00676471119,205428.88776530535,256502.89453001652,263503.7888452445,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 1500000,1500000.0000004468,53607.48332623459,213073.36209976443,266680.845425999,274238.72782860784,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 1600000,1600000.0000001073,55960.673329760626,220282.97876141194,276243.6520911726,284251.3927307171,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 1700000,1700000.000000119,57982.19944053002,227566.60777163992,285548.8072121699,293590.37999437464,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 1800000,1799999.999999993,59991.75196276989,234771.58740708727,294763.33936985716,302301.0163697071,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 1900000,1900000.0000000522,61989.46053552629,241899.14164144453,303888.6021769708,310425.5789075289,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 200000,200000.00000063467,10232.016102045747,48724.08014056483,58956.096242610576,55013.15190416413,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 2000000,1999999.999999996,63975.368347069314,248950.5548209316,312925.92316800094,318003.50015076966,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 2100000,2100000.0000000005,65949.62148277606,255926.98288059322,321876.6043633693,325071.5595203093,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 2200000,2200000.0000082767,67912.30307758503,262829.61978443235,330741.9228620174,331664.06182426977,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 2300000,2300000.0000000335,69863.50320007508,269659.62817240634,339523.1313724814,337813.0037537008,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 2400000,2400000.0000001253,71850.07842009944,276366.22568862926,348216.3041087287,343548.2291837033,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 2500000,2500000.0000000675,74029.66388211568,282530.58567935845,356560.24956147413,348897.57401531155,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 2600000,2600000.0000031656,76113.87411671858,288323.7463117381,364437.6204284567,353887.0012797875,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 2700000,2700000.000001169,78108.27219746167,293777.5727897107,371885.8449871724,358540.7271488625,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 2800000,2799999.9999987935,79378.71757267638,298057.1962198831,377435.91379255947,362881.3384690751,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 2900000,2900000.000000001,80071.9316731347,300942.9016019027,381014.83327503735,366929.9023862332,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 300000,300000.000000592,14901.507948695176,69257.03608825804,84158.54403695322,79775.87283316672,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 3000000,2999999.9999941424,80659.71952804418,302492.2088732098,383151.92840125394,370706.0685942654,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 3100000,3099999.99999987,81253.35428885548,303223.28268966574,384476.63697852124,374228.16470664,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 3200000,3199999.999996473,81859.62896482475,303820.63039550034,385680.25936032506,377513.28520685446,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 3300000,3299999.9999940144,82437.14247123178,304115.0405980995,386552.18306933134,380577.37441899406,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 3400000,3400000.0,83070.83330141561,304993.75292772084,388064.58622913645,383435.30389220885,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 3500000,3499999.999999378,83675.95770627163,305569.57641783374,389245.53412410535,386100.94457926025,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 3600000,3599999.9999982775,84280.76249120891,306138.3865431754,390419.1490343843,388587.2341604108,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 3700000,3700000.0,84885.25012866214,306700.2864817187,391585.53661038086,390906.2398356936,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 3800000,3799999.9999979543,85394.16660477496,305331.6245914871,390725.79119626206,393069.21689291653,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 3900000,3899999.999999816,86070.80332191284,307584.57783988875,393655.3811618016,395086.66333571624,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 400000,400000.0000005619,19249.428884507026,87786.04041929486,107035.46930380189,102872.494724502,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 4000000,4000000.0000000005,86657.62176074434,307786.14192068164,394443.76368142595,396968.37083499064,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 4100000,4100000.0000000005,87244.131494125,307916.4023119695,395160.5338060945,398723.47225318087,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 4200000,4199999.9999999,87830.33272056702,308008.4164216779,395838.7491422449,400360.4859704159,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 4300000,4300000.0,88416.22563892607,308078.74261027353,396494.9682491996,401887.3572284808,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 4400000,4400000.000000001,89001.81044717663,308136.15428670705,397137.9647338837,403311.49669301463,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 4500000,4499999.999997946,89587.08734362602,308185.5272930745,397772.61463670054,404639.81642114616,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 4600000,4599999.999999968,90149.53605333543,307646.7324641637,397796.2685174991,405878.7634092685,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 4700000,4700000.000000001,90756.71819325439,308270.338146746,399027.05634000036,407034.3508832589,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 4800000,4799999.999999653,91341.07254207456,308308.5377647235,399649.610306798,408112.1874839112,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 500000,500000.00000029564,23362.047491161182,104534.87133751836,127896.91882867954,124415.11697185077,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 600000,600000.0000052016,27255.536543723556,119734.44684793708,146989.98339166064,144508.2966368121,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 700000,700000.0000000306,30944.65868482538,133580.326418105,164524.98510293037,163249.55591118857,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 800000,800000.0000000629,34443.09349742422,146238.48552919523,180681.57902661944,180729.85545064756,Mexico,Abuelita
region: Mexico brand: Abuelita budget: 900000,900000.000004333,37763.39713844616,157850.38096608847,195613.77810453463,197034.03584278494,Mexico,Abuelita
region: Brazil brand: Nescau budget: 100000,100000.00000000981,387137.2388995668,51344.4753311634,438481.7142307302,301163.7674086732,Brazil,Nescau
region: Brazil brand: Nescau budget: 1000000,1000000.0000000059,1461805.1045141814,947201.6094569089,2409006.7139710905,2369733.208545159,Brazil,Nescau
region: Brazil brand: Nescau budget: 1100000,1100000.000000002,1524832.7882474314,1028291.5781980793,2553124.3664455106,2541501.693421666,Brazil,Nescau
region: Brazil brand: Nescau budget: 1200000,1200000.0000000035,1580069.411881962,1111244.4547719352,2691313.8666538973,2703891.0500695,Brazil,Nescau
region: Brazil brand: Nescau budget: 1300000,1300000.0000000026,1633086.6080891287,1191435.882175047,2824522.4902641755,2857413.4099567286,Brazil,Nescau
region: Brazil brand: Nescau budget: 1400000,1400000.000000005,1684021.1270324183,1269011.0815704204,2953032.2086028387,3002552.9404769377,Brazil,Nescau
region: Brazil brand: Nescau budget: 1500000,1499999.9999999977,1732998.288948367,1344106.0902398333,3077104.3791882005,3139767.37188027,Brazil,Nescau
region: Brazil brand: Nescau budget: 1600000,1600000.0000000002,1780132.780840796,1416848.7367460474,3196981.517586843,3269489.4408291015,Brazil,Nescau
region: Brazil brand: Nescau budget: 1700000,1700000.000000017,1825530.8409492194,1487358.06312269,3312888.9040719094,3392128.25513065,Brazil,Nescau
region: Brazil brand: Nescau budget: 1800000,1799999.9999999919,1869289.8436160914,1555746.1972034015,3425036.040819493,3508070.58395069,Brazil,Nescau
region: Brazil brand: Nescau budget: 1900000,1899999.999999998,1911500.605139662,1622117.3686881708,3533617.973827833,3617682.077577587,Brazil,Nescau
region: Brazil brand: Nescau budget: 200000,200000.0000003859,649708.0300198627,121300.31124382069,771008.3412636834,585882.9955631528,Brazil,Nescau
region: Brazil brand: Nescau budget: 2000000,2000000.0000000007,1952246.793219799,1686569.699147788,3638816.492367587,3721308.4205826814,Brazil,Nescau
region: Brazil brand: Nescau budget: 2100000,2099999.999999989,1991605.7476067937,1749195.4699383648,3740801.217545158,3819276.4220147263,Brazil,Nescau
region: Brazil brand: Nescau budget: 2200000,2200000.0000000005,2029649.673003449,1810080.9174661955,3839730.5904696444,3911895.046065956,Brazil,Nescau
region: Brazil brand: Nescau budget: 2300000,2300000.000000016,2066756.076162298,1868993.526496093,3935749.602658391,3999456.3864602637,Brazil,Nescau
region: Brazil brand: Nescau budget: 2400000,2400000.0,2104766.2433689684,1923984.3596766137,4028750.603045582,4082236.587636697,Brazil,Nescau
region: Brazil brand: Nescau budget: 2500000,2499999.9999999995,2141457.33455391,1977273.363388114,4118730.697942024,4160496.715633316,Brazil,Nescau
region: Brazil brand: Nescau budget: 2600000,2600000.000000001,2176897.3205314693,2028942.9513043617,4205840.271835831,4234483.581417714,Brazil,Nescau
region: Brazil brand: Nescau budget: 2700000,2700000.0,2211001.815157526,2079209.1896158538,4290211.00477338,4304430.519261143,Brazil,Nescau
region: Brazil brand: Nescau budget: 2800000,2800000.0000000005,2253796.212861088,2117417.383344497,4371213.596205585,4370558.122610771,Brazil,Nescau
region: Brazil brand: Nescau budget: 2900000,2900000.0,2303342.957232544,2141610.192253059,4444953.149485603,4433074.939780864,Brazil,Nescau
region: Brazil brand: Nescau budget: 300000,300000.0000003132,794960.5591400833,257074.12569196324,1052034.6848320465,855055.6107742646,Brazil,Nescau
region: Brazil brand: Nescau budget: 3000000,3000000.0000000014,2347286.1071266388,2164391.3982773745,4511677.505404013,4492178.131656951,Brazil,Nescau
region: Brazil brand: Nescau budget: 3100000,3100000.0000002896,2386494.6238366705,2185878.9857001933,4572373.609536864,4548054.0934873065,Brazil,Nescau
region: Brazil brand: Nescau budget: 3200000,3199999.99999996,2421667.1381293247,2206178.272810395,4627845.4109397195,4600879.042721606,Brazil,Nescau
region: Brazil brand: Nescau budget: 3300000,3299999.9999999995,2453373.292752469,2225383.525660969,4678756.818413438,4650819.574754076,Brazil,Nescau
region: Brazil brand: Nescau budget: 3400000,3399999.9999991828,2482083.044673024,2243579.3403687757,4725662.385041799,4698033.188317507,Brazil,Nescau
region: Brazil brand: Nescau budget: 3500000,3500000.0000010952,2508187.9362567095,2260841.8301617745,4769029.766418484,4742668.782194367,Brazil,Nescau
region: Brazil brand: Nescau budget: 3600000,3599999.9999999995,2532016.8870641217,2277239.64731506,4809256.534379181,4784867.124796319,Brazil,Nescau
